MeanVerifTime,InvariantSize,MythVerifCalls,FoldMaxVerifTime,MythMaxVerifTime,ThirtyTotalVerifTime,FoldTotalSynthTime,ConjStrVerifCalls,Test,ThirtyTime,SRPVerifCalls,LAStrTotalSynthTime,MythTime,SRPMaxSynthTime,FoldSynthCalls,LAStrMaxSynthTime,ThirtySynthCalls,SRPTotalSynthTime,CLPTotalVerifTime,MythTotalSynthTime,ThirtyMaxSynthTime,FoldTime,MythSynthCalls,SRPTime,SRPMaxVerifTime,ConjStrTotalVerifTime,LAStrSynthCalls,ConjStrSynthCalls,CLPMaxVerifTime,LAStrTime,ThirtyMaxVerifTime,MythTotalVerifTime,CLPTotalSynthTime,CLPTime,ConjStrTotalSynthTime,CLPSynthCalls,CLPVerifCalls,LAStrTotalVerifTime,ConjStrTime,FoldTotalVerifTime,FoldVerifCalls,ThirtyTotalSynthTime,ConjStrMaxSynthTime,ThirtyVerifCalls,ConjStrMaxVerifTime,MythMaxSynthTime,FoldMaxSynthTime,SRPSynthCalls,MeanSynthTime,LAStrVerifCalls,CLPMaxSynthTime,LAStrMaxVerifTime,SRPTotalVerifTime
97,t/o,t/o,t/o,t/o,incorrect,t/o,t/o,/coq/bst-::-set*,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,incorrect,t/o,t/o,t/o,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,incorrect,t/o,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o
3.80,15,11,21.3,17.8,err,2.0,66,/coq/bst-::-set+binfuncs,err,11,0.3,42.0,0.1,7,0.2,err,0.2,41.3,0.2,err,55.7,3,40.7,16.3,76.3,4,7,16.7,114.3,err,41.8,0.2,41.5,0.2,3,12,114.0,76.6,53.5,20,err,0.1,err,16.5,0.1,0.4,3,0.07,27,0.1,23.9,40.5
97,t/o,t/o,t/o,t/o,incorrect,t/o,t/o,/coq/bst-::-set+hofs*,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,incorrect,t/o,t/o,t/o,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,incorrect,t/o,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o
103,t/o,t/o,t/o,t/o,incorrect,t/o,t/o,/coq/rbtree-::-set*,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,incorrect,t/o,t/o,t/o,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,incorrect,t/o,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o
103,t/o,t/o,t/o,t/o,err,t/o,t/o,/coq/rbtree-::-set+binfuncs,err,t/o,t/o,t/o,t/o,t/o,t/o,err,t/o,t/o,t/o,err,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,err,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,err,t/o,err,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o
103,t/o,t/o,t/o,t/o,incorrect,t/o,t/o,/coq/rbtree-::-set+hofs*,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,incorrect,t/o,t/o,t/o,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,incorrect,t/o,incorrect,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o
0.36,35,16,6.2,4.2,incorrect,2.7,56,/coq/maxfirst-list-::-heap,incorrect,18,0.6,6.2,0.1,15,0.2,incorrect,0.3,5.9,0.3,incorrect,13.5,5,6.6,4.4,8.5,15,15,4.2,18.1,incorrect,5.8,0.3,6.3,0.4,5,21,17.5,9.1,10.0,45,incorrect,0.2,incorrect,3.8,0.1,0.6,7,0.06,67,0.1,4.1,6.2
0.44,35,16,6.3,4.3,err,1.3,58,/coq/maxfirst-list-::-heap+binfuncs,err,18,0.7,7.4,0.2,12,0.3,err,0.3,7.2,0.3,err,17.6,5,8.6,4.5,16.4,15,15,4.3,30.2,err,7.0,0.3,7.6,0.4,5,21,29.5,17.0,15.7,40,err,0.2,err,3.8,0.2,0.2,7,0.06,69,0.2,4.3,8.2
1.05,49,21,2.7,13.1,incorrect,0.3,127,/coq/sorted-list-::-set,incorrect,21,1.7,22.9,0.5,4,0.5,incorrect,0.8,24.7,0.7,incorrect,6.7,7,22.7,12.9,114.3,19,20,14.1,51.6,incorrect,22.0,0.7,25.5,1.7,7,30,49.9,116.2,6.1,16,incorrect,0.5,incorrect,15.2,0.5,0.1,8,0.10,59,0.6,15.6,21.8
0.76,49,21,5.0,5.5,err,0.4,50,/coq/sorted-list-::-set+binfuncs,err,21,2.1,17.3,0.7,4,0.7,err,1.2,42.1,1.2,err,10.8,8,16.6,5.3,19.8,17,6,5.5,48.5,err,16.0,1.1,43.3,0.1,8,42,46.4,20.0,10.2,16,err,0.1,err,5.4,0.7,0.1,8,0.15,58,0.7,6.0,15.3
4.74,49,21,41.9,62.3,incorrect,0.5,t/o,/coq/sorted-list-::-set+hofs,incorrect,21,4.2,101.3,1.1,4,1.5,incorrect,1.7,t/o,1.6,incorrect,47.5,8,116.8,73.5,t/o,15,t/o,t/o,344.7,incorrect,99.6,t/o,t/o,t/o,t/o,t/o,340.4,t/o,46.7,16,incorrect,t/o,incorrect,t/o,1.0,0.1,8,0.20,62,t/o,86.7,115.0
0.65,35,20,12.8,10.0,0.0,16.5,37,/coq/unique-list-::-set,1.2,20,0.4,13.2,0.1,9,0.1,0,0.4,12.9,0.3,0.0,32.8,6,13.3,10.0,15.2,8,11,10.0,27.5,0.0,12.9,0.3,13.3,0.3,6,25,27.0,15.7,15.8,26,0.0,0.2,0,6.1,0.1,15.1,8,0.05,37,0.1,6.0,12.8
1.95,15,8,13.6,11.8,err,17.5,25,/coq/unique-list-::-set+binfuncs,err,8,0.1,15.7,0.1,9,0.1,err,0.1,15.7,0.1,err,37.1,2,15.7,11.8,16.3,3,5,11.9,32.0,err,15.6,0.1,15.8,0.1,2,9,31.8,16.5,19.1,30,err,0.1,err,7.2,0.1,15.4,2,0.05,26,0.1,7.2,15.5
10.18,17,8,81.6,78.2,incorrect,2.8,25,/coq/unique-list-::-set+hofs,incorrect,8,0.2,81.7,0.2,9,0.2,incorrect,0.2,70.4,0.2,incorrect,92.1,2,67.4,64.2,69.0,3,5,67.5,138.8,incorrect,81.4,0.2,70.7,0.2,2,9,138.6,69.2,88.8,28,incorrect,0.2,incorrect,50.4,0.2,1.0,2,0.10,26,0.2,52.2,67.1
0.06,29,16,0.6,0.5,incorrect,0.4,50,/other/cache,incorrect,16,0.2,1.3,0.1,3,0.1,incorrect,0.2,0.9,0.2,incorrect,1.5,5,1.1,0.5,1.0,8,8,0.4,2.1,incorrect,1.0,0.1,1.2,0.2,5,23,1.8,1.2,1.0,14,incorrect,0.1,incorrect,0.3,0.1,0.2,5,0.04,37,0.1,0.3,0.9
0.63,53,14,6.3,4.7,incorrect,0.9,33,/other/listlike-tree,incorrect,14,0.1,9.0,0.1,6,0.1,incorrect,0.1,8.8,0.1,incorrect,19.0,4,8.5,4.5,25.6,9,10,4.4,33.9,incorrect,8.8,0.1,9.0,0.1,4,19,33.7,25.8,18.0,16,incorrect,0.1,incorrect,4.5,0.1,0.2,5,0.03,35,0.1,4.4,8.3
0.12,23,12,0.9,1.0,t/o,0.2,31,/other/nat-nat-option-::-range,t/o,12,0.1,1.6,0.1,3,0.1,t/o,0.1,1.5,0.1,t/o,1.4,4,1.7,1.0,2.5,5,9,1.0,4.2,t/o,1.5,0.1,1.6,0.1,4,15,4.0,2.7,1.2,10,t/o,0.1,t/o,1.0,0.1,0.1,4,0.03,32,0.1,1.0,1.5
